,name,group,min,max,mean,stddev,rounds,median,iqr,q1,q3,iqr_outliers,stddev_outliers,outliers,ld15iqr,hd15iqr,ops,total,data,iterations,algorithm,Np
10,test_fam[64],,0.09356012901116628,0.12248423999699298,0.11627716198010603,0.004465980229413695,50,0.11695253450307064,0.003509008020046167,0.1149378519912716,0.11844686001131777,2,9,9;2,0.1099876050138846,0.12248423999699298,8.600141102266418,5.8138580990053015,"[0.09356012901116628, 0.11413178000657354, 0.12086988499504514, 0.11540684598730877, 0.11399072399944998, 0.11622514900227543, 0.11734689399600029, 0.11593992399866693, 0.12080204200174194, 0.11754258700239006, 0.11647379699570592, 0.11734129399701487, 0.11833949500578456, 0.1168056059977971, 0.11769801800255664, 0.1201919310115045, 0.11926474700157996, 0.11950450899894349, 0.11697521300811786, 0.12127531699661631, 0.1183264080027584, 0.12107020699477289, 0.12248423999699298, 0.11296365800080821, 0.1099876050138846, 0.12061660799372476, 0.11330405400076415, 0.11852391000138596, 0.11844686001131777, 0.11755340600211639, 0.12050095900485758, 0.11763214800157584, 0.11095337799633853, 0.11442150099901482, 0.11818124999990687, 0.11546018699300475, 0.11416464700596407, 0.11842584499390796, 0.10758777899900451, 0.11507275600160938, 0.11505512399889994, 0.11502205599390436, 0.1161379299883265, 0.11533467999834102, 0.11478789200191386, 0.11978592799277976, 0.11692985599802341, 0.1122142740059644, 0.11828921400592662, 0.1149378519912716]",1,fam,64
3,test_ssca[64],,0.1797139190020971,0.20836325899290387,0.20133905763854273,0.004584749045235,50,0.20191719999274937,0.0016924580122577026,0.2013542159984354,0.2030466740106931,8,4,4;8,0.19959119700070005,0.2073146979964804,4.9667462027922396,10.066952881927136,"[0.19780648899904918, 0.19959119700070005, 0.19849661199259572, 0.20398382500570733, 0.19812221599568147, 0.2034399029944325, 0.20135565899545327, 0.1982503749895841, 0.20154302699666005, 0.1797139190020971, 0.20836325899290387, 0.18298461100494023, 0.2073146979964804, 0.2011284570035059, 0.20158785999228712, 0.20223208800598513, 0.20109729901014362, 0.20229688899416942, 0.20152658699953463, 0.2013542159984354, 0.20476673200028017, 0.2015752379957121, 0.20180028599861544, 0.20554209299734794, 0.2029281339928275, 0.20065658999374136, 0.2039377909968607, 0.2021964829909848, 0.2030466740106931, 0.20164773300348315, 0.20061742700636387, 0.20215733100485522, 0.20199349599715788, 0.20232066500466317, 0.20428137999260798, 0.20203131600283086, 0.20151007699314505, 0.20213278499431908, 0.20387536499765702, 0.20296286899247207, 0.20196081598987803, 0.20377043000189587, 0.20094777199847158, 0.2036571089993231, 0.20152936399972532, 0.20209304201125633, 0.2014096810016781, 0.20187358399562072, 0.20379268199030776, 0.20174875100201461]",1,ssca,64
11,test_fam[128],,0.1515147390018683,0.22662299100193195,0.16587840971944387,0.01375192771518415,50,0.16382768849871354,0.008166865998646244,0.16001814499031752,0.16818501098896377,2,4,4;2,0.1515147390018683,0.22637002199189737,6.028512099261959,8.293920485972194,"[0.1637108949944377, 0.16505227900051977, 0.16163808399869595, 0.1628773429983994, 0.1718749529973138, 0.1660779430094408, 0.16156214800139423, 0.17656159999023657, 0.16579766100039706, 0.1661866229987936, 0.15568874300515745, 0.22637002199189737, 0.1571235750016058, 0.15867471099772956, 0.16001814499031752, 0.15650673299387563, 0.16441833300632425, 0.16110319500148762, 0.16878960801113863, 0.1645868000050541, 0.15558565199899022, 0.16818501098896377, 0.16410779500438366, 0.1515147390018683, 0.17238068900769576, 0.15217911900253966, 0.16243289300473407, 0.15802545299811754, 0.16304291599954013, 0.168152755999472, 0.16929475900542457, 0.17008465599792544, 0.16301166098855902, 0.1650942750129616, 0.159671368994168, 0.15156324199051596, 0.16547010399517603, 0.15681928700360004, 0.16382839799916837, 0.16871392699249554, 0.16193684400059283, 0.1638269789982587, 0.17191738499968778, 0.16233017500780988, 0.1530282189924037, 0.16481299299630336, 0.16248536799685098, 0.22662299100193195, 0.17239522200543433, 0.17078621499240398]",1,fam,128
4,test_ssca[128],,0.4735258180007804,0.48659584499546327,0.4781037169403862,0.0028008942752447397,50,0.4775573715014616,0.0031160950020421296,0.4763421969983028,0.47945829200034495,2,15,15;2,0.4735258180007804,0.4844814249954652,2.091596372434578,23.90518584701931,"[0.47679305699421093, 0.477867334993789, 0.4793252749950625, 0.4786931709968485, 0.4783577070047613, 0.4790224330063211, 0.47708947899809573, 0.4745332669990603, 0.476498531003017, 0.47444011400511954, 0.4776697890047217, 0.4800022569979774, 0.47634901500714477, 0.4784737349982606, 0.4814549589937087, 0.48096650101069827, 0.48008154598937836, 0.4790327160008019, 0.4786143889941741, 0.4774449539982015, 0.4785319759976119, 0.4735258180007804, 0.4790353230055189, 0.48246534100326244, 0.47665830299956724, 0.4838904499920318, 0.47700780400191434, 0.4826811429957161, 0.47732315100438427, 0.4779382440028712, 0.4763421969983028, 0.4764255519985454, 0.4754258140019374, 0.47945829200034495, 0.47437638400879223, 0.48159831200609915, 0.4760123659943929, 0.4762637030071346, 0.47988882500794716, 0.48659584499546327, 0.477176482003415, 0.4739107600034913, 0.47973386700323317, 0.4844814249954652, 0.47592168900882825, 0.477411198997288, 0.4763905319996411, 0.47443612798815593, 0.47525832800602075, 0.47631036399980076]",1,ssca,128
18,test_fastsc[128],,12.736814896998112,13.957296681008302,13.645327473421057,0.24946623937287649,50,13.659717501999694,0.17736074698041193,13.627658798010089,13.8050195449905,5,9,9;5,13.36822816899803,13.957296681008302,0.07328515947659314,682.2663736710529,"[12.867849843998556, 12.736814896998112, 12.909762444003718, 13.32432298900676, 13.279711442010012, 13.36822816899803, 13.660326686003827, 13.614382944011595, 13.577709895995213, 13.646577491002972, 13.634883870006888, 13.654324292001547, 13.64537118600856, 13.599678137004958, 13.669865996009321, 13.686569294994115, 13.573525201994926, 13.653952295993804, 13.622014781009057, 13.667255680004018, 13.63418325499515, 13.627658798010089, 13.642794498009607, 13.682349613998667, 13.65562619100092, 13.68823703599628, 13.68041347899998, 13.622171271999832, 13.641339130001143, 13.65910831799556, 13.64053858499392, 13.635521140997298, 13.68496891000541, 13.719455045997165, 13.740347026992822, 13.8050195449905, 13.804949911005679, 13.957296681008302, 13.86340366100194, 13.804883142001927, 13.84787230900838, 13.886244146997342, 13.909492452992708, 13.852383687000838, 13.840638259003754, 13.867916799994418, 13.859563870995771, 13.918779726998764, 13.825041119998787, 13.875048521003919]",1,fastsc,128
12,test_fam[256],,0.3056184440065408,0.4536789379926631,0.32534963031939695,0.02045427088310265,50,0.32247507999272784,0.008705874002771452,0.31932137899275403,0.3280272529955255,4,2,2;4,0.30689403299766127,0.3429427139926702,3.073616524531767,16.26748151596985,"[0.32228326798940543, 0.32632656500209123, 0.3158482080034446, 0.3102642789890524, 0.3257557269971585, 0.32817328300734516, 0.3108101510006236, 0.32644902300671674, 0.32974232599372044, 0.32057584199355915, 0.3127279140026076, 0.30737978300021496, 0.32010640000225976, 0.3280201500019757, 0.3378396199987037, 0.3252552500052843, 0.3429427139926702, 0.3314317369950004, 0.3199781300063478, 0.32626594400790054, 0.3280495399958454, 0.3308064049924724, 0.3280272529955255, 0.3056184440065408, 0.33328263799194247, 0.3362186339945765, 0.30689403299766127, 0.3161194529966451, 0.3288264199945843, 0.3106202189956093, 0.3177608250116464, 0.4536789379926631, 0.3105368800024735, 0.34921763199963607, 0.32309728699328844, 0.3242038489988772, 0.32267916700220667, 0.32223086700832937, 0.32292582200898323, 0.31878961200709455, 0.3199001689936267, 0.32155217201216146, 0.31932137899275403, 0.32119703901116736, 0.3207975599943893, 0.3198044979944825, 0.32266689199605025, 0.32085446499695536, 0.3228357030020561, 0.3207914069935214]",1,fam,256
5,test_ssca[256],,2.4756194410001626,2.5300428949994966,2.5074445322595422,0.012723284557543277,50,2.512194400005683,0.021571436009253375,2.495086631999584,2.5166580680088373,0,17,17;0,2.4756194410001626,2.5300428949994966,0.3988124112555609,125.3722266129771,"[2.5092216699995333, 2.5193666319974, 2.5184055319987237, 2.519561359004001, 2.5300428949994966, 2.4954669309954625, 2.490882149999379, 2.513208158998168, 2.520225362997735, 2.495086631999584, 2.512256191999768, 2.485888626004453, 2.5135970240080496, 2.5126988609990804, 2.5178753350046463, 2.494752989994595, 2.5131812659965362, 2.5109322130010696, 2.4756194410001626, 2.5029171939968364, 2.5127289710071636, 2.5134852539922576, 2.51226499400218, 2.518065637006657, 2.5121468889992684, 2.502753673994448, 2.5085396929935087, 2.492111208004644, 2.519632449999335, 2.5122419110120973, 2.4899534239957575, 2.5281229409883963, 2.489127042994369, 2.5234820189944003, 2.49186995299533, 2.4983537349908147, 2.5250107280007796, 2.4975806739967084, 2.5166580680088373, 2.4903434709995054, 2.5158558870025445, 2.523645289998967, 2.489955386001384, 2.5149461879918817, 2.4919753489957657, 2.5093031310098013, 2.5093760890013073, 2.5078878729982534, 2.4906750670052134, 2.5129471510008443]",1,ssca,256
19,test_fastsc[256],,61.86024007800734,63.55638053698931,62.51368194655981,0.43448849772981457,50,62.379829580997466,0.786235690000467,62.084989887996926,62.87122557799739,0,22,22;0,61.86024007800734,63.55638053698931,0.015996498188266303,3125.6840973279905,"[62.8034448200051, 63.55638053698931, 62.19449960300699, 62.06799425500503, 62.34878223699343, 62.06593786699523, 62.38329862098908, 62.05336236000585, 62.05805632499687, 62.40520643099444, 62.15684696199605, 62.24734505100059, 61.86024007800734, 62.084989887996926, 62.06211056299799, 62.042683482010034, 62.701995707000606, 63.035305525001604, 63.1644184050092, 62.84041771000193, 62.97983142698649, 62.16405255800055, 62.06341446399165, 62.15643439699488, 62.05892555999162, 62.47265609500755, 62.05510582200077, 62.108457972004544, 62.25869098000112, 62.06169878800574, 62.277021681002225, 62.22827913699439, 62.008656876991154, 62.179004208010156, 62.37636054100585, 62.88916416799475, 62.80359579299693, 62.96270089499012, 62.8387485340063, 63.115068786006304, 62.90276708699821, 63.030196392996004, 63.17959402300767, 63.18489894400409, 62.757408528996166, 62.84085220000998, 63.01210242600064, 62.85764617899258, 62.87122557799739, 62.85622085900104]",1,fastsc,256
13,test_fam[512],,0.5734489689930342,0.8706725410011131,0.6105292045799433,0.054254644479603306,50,0.5961036874941783,0.019350532005773857,0.5929786680062534,0.6123292000120273,3,2,2;3,0.5734489689930342,0.6416319080017274,1.637923284420146,30.526460228997166,"[0.6183078480098629, 0.6195685509883333, 0.5892658999946434, 0.6351167169923428, 0.6217550919973291, 0.6078012910002144, 0.6234332570020342, 0.5929786680062534, 0.6214764440082945, 0.590288250008598, 0.6151476730010472, 0.5794014270068146, 0.6132028379943222, 0.6416319080017274, 0.8706725410011131, 0.5960140309907729, 0.5734489689930342, 0.6123292000120273, 0.5845099569996819, 0.5817021700058831, 0.5964310230046976, 0.8598520160012413, 0.6049461469956441, 0.6151806379930349, 0.5999997900071321, 0.5964752709987806, 0.5980507649946958, 0.5875487970042741, 0.5920839669997804, 0.5988860609941185, 0.5974013839877443, 0.5945864209934371, 0.5937567939981818, 0.5946835960057797, 0.5943583320040489, 0.5928960669989465, 0.5971275629999582, 0.5943517739942763, 0.5979320719925454, 0.5953292330086697, 0.593757741007721, 0.595106469001621, 0.5942614029918332, 0.594400964997476, 0.5908057570050005, 0.5961933439975837, 0.5896408159896964, 0.5944496849988354, 0.5981828750082059, 0.5897307310078759]",1,fam,512
6,test_ssca[512],,5.104547833005199,5.158036027001799,5.124501666380383,0.010908027221142669,50,5.124020527495304,0.013427397992927581,5.116906148003181,5.130333545996109,2,12,12;2,5.104547833005199,5.152567134995479,0.19514092590906215,256.2250833190192,"[5.127513872997952, 5.115638113013119, 5.118294967003749, 5.108240815010504, 5.104904630992678, 5.109930762002477, 5.142920530997799, 5.111852161993738, 5.114227675003349, 5.141446209992864, 5.133890413009794, 5.130437512998469, 5.125802558002761, 5.136093049994088, 5.127536153988331, 5.114082542000688, 5.123319549005828, 5.127045828005066, 5.119920946002821, 5.123994367997511, 5.124046686993097, 5.158036027001799, 5.130333545996109, 5.120205943007022, 5.115060002004611, 5.11437326700252, 5.1245389849937055, 5.1316055720089935, 5.12047085899394, 5.1307022429973586, 5.1291006690007634, 5.125415884001995, 5.120737470002496, 5.13367375600501, 5.108715170994401, 5.104547833005199, 5.135314262006432, 5.12315494500217, 5.152567134995479, 5.121982629003469, 5.124497925993637, 5.121588744994369, 5.13023610500386, 5.116906148003181, 5.123962202997063, 5.137651422002818, 5.115840118989581, 5.119434419000754, 5.128697426000144, 5.124593261003611]",1,ssca,512
